post_id,platform,content_type,topic,language,region,Post_date,post_hour,sentiment_score,views,likes,comments,shares,engagement_rate,viral
86,LinkedIn,article,Fashion,HI,UK,2025-02-12,08,-0.63,26982,998,384,153,0.0569,No
87,LinkedIn,video,Health,HI,DE,2025-04-25,09,0.48,47238,2349,903,361,0.0765,No
88,LinkedIn,poll,Technology,HI,US,2025-05-12,10,0.65,41816,2133,820,328,0.0785,No
89,LinkedIn,article,Travel,EN,AU,2025-10-22,10,0.51,44792,958,368,147,0.0329,No
90,LinkedIn,image,Entertainment,EN,FR,2025-08-29,15,0.61,23187,1807,695,278,0.1199,Yes
91,LinkedIn,video,Travel,JA,MX,2025-03-11,15,-0.54,36588,1341,516,206,0.0564,No
92,LinkedIn,article,Business,UR,DE,2025-01-25,10,-0.55,33605,1034,397,159,0.0474,No
93,LinkedIn,poll,Lifestyle,HI,FR,2025-02-10,10,0.76,28925,846,325,130,0.045,No
94,LinkedIn,carousel,Education,JA,US,2025-06-30,13,0.85,11484,1079,415,166,0.1447,Yes
95,LinkedIn,video,Food,JA,US,2025-03-06,14,0.86,38612,1066,410,164,0.0425,No
96,LinkedIn,image,Health,DE,UK,2025-05-08,00,0.77,46480,4152,1597,638,0.1374,Yes
97,LinkedIn,carousel,Business,HI,MX,2025-02-07,15,0.16,46889,2675,1029,411,0.0878,Yes
98,LinkedIn,image,Fashion,FR,IN,2025-04-13,07,0.99,9504,650,250,100,0.1053,Yes
99,LinkedIn,article,Entertainment,UR,FR,2025-09-03,15,0.71,9410,799,307,123,0.1308,Yes
100,LinkedIn,poll,Food,ES,MX,2025-08-10,09,-0.8,35006,1893,728,291,0.0832,Yes
101,LinkedIn,article,Lifestyle,FR,AU,2025-05-21,14,0.77,40658,1748,672,269,0.0662,No
102,LinkedIn,poll,Technology,EN,IN,2025-01-24,18,0.78,19983,1349,519,207,0.1039,Yes
103,LinkedIn,image,Travel,FR,FR,2025-06-02,09,-0.04,23634,1783,686,274,0.1161,Yes
104,LinkedIn,video,Education,HI,DE,2025-05-04,14,0.01,11466,757,291,116,0.1017,Yes
105,LinkedIn,poll,Education,FR,MX,2025-09-13,14,-0.81,24127,295,113,45,0.0188,No
106,LinkedIn,image,Travel,JA,UK,2025-10-02,09,0.74,13756,614,236,94,0.0687,No
107,LinkedIn,image,Entertainment,PT,AU,2025-08-19,08,0.62,10454,321,123,49,0.0473,No
108,LinkedIn,poll,Health,EN,US,2025-01-20,14,0.77,20610,1308,503,201,0.0977,Yes
109,LinkedIn,poll,Fashion,JA,CA,2025-06-03,09,0.79,38910,2432,935,374,0.0962,Yes
110,LinkedIn,article,Food,JA,MX,2025-09-26,19,0.59,10924,512,197,78,0.0721,No
111,LinkedIn,video,Health,JA,US,2025-12-28,10,-0.69,24218,1093,420,168,0.0695,No
112,LinkedIn,image,Food,JA,BR,2025-05-07,14,0.96,48294,1914,736,294,0.061,No
113,LinkedIn,article,Food,PT,FR,2025-06-26,04,-0.09,36296,1080,415,166,0.0458,No
114,LinkedIn,poll,Lifestyle,ES,IN,2025-11-12,07,0.68,45642,3467,1333,533,0.1169,Yes
115,LinkedIn,article,Fashion,ES,FR,2025-12-01,15,0.86,43749,2769,1065,426,0.0974,Yes
116,LinkedIn,poll,Technology,ES,FR,2025-04-01,01,0.46,22957,822,316,126,0.0551,No
117,LinkedIn,poll,Fashion,JA,MX,2025-09-16,10,0.84,20334,1270,488,195,0.0961,Yes
118,LinkedIn,video,Sports,PT,FR,2025-09-21,15,0.63,30277,2231,858,343,0.1134,Yes
119,LinkedIn,image,Lifestyle,EN,UK,2025-12-01,10,0.7,47108,3593,1382,552,0.1174,Yes
120,LinkedIn,article,Lifestyle,DE,CA,2025-04-24,10,0.14,40047,2910,1119,447,0.1118,Yes
121,LinkedIn,article,Fashion,JA,AU,2025-12-27,09,0.52,39217,2029,780,312,0.0796,No
122,LinkedIn,poll,Travel,EN,JP,2025-03-09,15,0.09,3968,165,63,25,0.0641,No
123,LinkedIn,article,Fashion,EN,IN,2025-08-30,15,0.95,25739,1236,475,190,0.074,No
124,LinkedIn,poll,Sports,DE,IN,2025-04-02,12,-0.08,23685,533,205,82,0.0347,No
125,LinkedIn,video,Entertainment,EN,FR,2025-11-11,00,0.8,4190,150,57,23,0.0551,No
126,LinkedIn,article,Health,JA,BR,2025-10-04,09,0.93,44267,2653,1020,408,0.0922,Yes
127,LinkedIn,carousel,Lifestyle,UR,US,2025-10-13,23,-0.04,28284,1104,424,169,0.0601,No
128,LinkedIn,image,Health,ES,AU,2025-08-31,10,0.48,16915,572,220,88,0.0521,No
129,LinkedIn,image,Entertainment,JA,DE,2025-02-17,10,0.09,45004,2279,876,350,0.0779,No
130,LinkedIn,carousel,Business,DE,UK,2025-01-08,10,-0.01,35973,1977,760,304,0.0846,Yes
131,LinkedIn,image,Lifestyle,DE,AU,2025-09-12,15,0.53,10563,171,66,26,0.0251,No
132,LinkedIn,poll,Food,PT,UK,2025-03-20,10,0.04,48419,2680,1031,412,0.0852,Yes
133,LinkedIn,carousel,Travel,ES,DE,2025-03-28,15,0.91,16167,358,137,55,0.0341,No
134,LinkedIn,video,Technology,FR,AU,2025-08-22,15,0.41,48329,1674,644,257,0.0533,No
135,LinkedIn,image,Technology,PT,MX,2025-02-24,16,0.64,25448,2285,879,351,0.1382,Yes
136,LinkedIn,carousel,Food,FR,BR,2025-06-03,02,0.41,12231,252,97,38,0.0317,No
137,LinkedIn,carousel,Education,HI,AU,2025-01-22,15,0.91,2026,194,74,29,0.1479,Yes
138,LinkedIn,poll,Sports,PT,IN,2025-06-03,10,0.14,6139,291,112,44,0.073,No
139,LinkedIn,image,Technology,HI,FR,2025-04-29,10,0.61,25603,1243,478,191,0.0747,No
140,LinkedIn,poll,Health,HI,CA,2025-06-01,22,0.46,1340,113,43,17,0.1301,Yes
141,LinkedIn,carousel,Education,UR,IN,2025-03-09,15,0.76,22261,1889,726,290,0.1306,Yes
142,LinkedIn,article,Lifestyle,PT,FR,2025-02-13,17,0.49,11958,565,217,87,0.0728,No
143,LinkedIn,carousel,Lifestyle,JA,IN,2025-07-04,10,0.97,22772,1990,765,306,0.1345,Yes
144,LinkedIn,carousel,Education,JA,DE,2025-08-09,20,0.64,21915,833,320,128,0.0586,No
145,LinkedIn,carousel,Food,FR,DE,2025-07-12,15,-0.81,20092,1019,392,156,0.0781,No
146,LinkedIn,article,Health,JA,MX,2025-11-21,14,0.95,46331,2392,920,368,0.0795,No
147,LinkedIn,article,Education,HI,IN,2025-05-08,11,0.56,34467,2477,952,381,0.1106,Yes
148,LinkedIn,poll,Food,FR,JP,2025-07-11,10,0.61,14557,806,310,124,0.0853,Yes
149,LinkedIn,image,Travel,HI,JP,2025-12-23,09,-0.33,34816,763,293,117,0.0337,No
150,LinkedIn,video,Education,PT,JP,2025-04-29,20,0.63,47185,1512,581,232,0.0493,No
151,LinkedIn,image,Entertainment,HI,AU,2025-04-06,10,0.64,8486,360,138,55,0.0653,No
152,LinkedIn,carousel,Food,ES,UK,2025-11-11,10,0.71,28409,1783,686,274,0.0966,Yes
153,LinkedIn,poll,Health,PT,MX,2025-09-07,22,0.59,30556,1914,736,294,0.0964,Yes
154,LinkedIn,image,Technology,JA,MX,2025-04-10,17,0.45,3022,221,85,34,0.113,Yes
155,LinkedIn,video,Lifestyle,EN,UK,2025-04-26,10,0.21,25042,1283,493,197,0.0789,No
156,LinkedIn,article,Travel,FR,FR,2025-02-22,20,1,16528,572,220,88,0.0533,No
157,LinkedIn,poll,Education,PT,MX,2025-11-12,10,0.5,47140,1735,667,267,0.0567,No
158,LinkedIn,poll,Lifestyle,HI,MX,2025-07-30,08,0.21,45317,1855,713,285,0.063,No
159,LinkedIn,video,Food,UR,FR,2025-07-12,09,0.22,7104,457,176,70,0.0992,Yes
160,LinkedIn,carousel,Education,HI,AU,2025-07-23,15,0.69,23527,2019,776,310,0.1321,Yes
161,LinkedIn,article,Technology,HI,JP,2025-01-09,10,-0.05,18958,355,136,54,0.0289,No
162,LinkedIn,image,Lifestyle,HI,DE,2025-12-07,05,0.69,9696,603,232,92,0.0958,Yes
163,LinkedIn,poll,Travel,EN,US,2025-12-23,09,0.88,7763,326,125,50,0.0649,No
164,LinkedIn,image,Sports,PT,MX,2025-11-25,04,-0.45,29992,1786,687,274,0.0917,Yes
165,LinkedIn,article,Entertainment,ES,IN,2025-10-29,11,0.76,40819,1579,607,243,0.0595,No
166,LinkedIn,article,Lifestyle,FR,AU,2025-11-07,15,0.7,39923,850,327,130,0.0328,No
167,LinkedIn,article,Education,DE,MX,2025-07-18,18,0.53,4962,429,165,66,0.1331,Yes
168,LinkedIn,carousel,Fashion,UR,AU,2025-08-01,15,0.95,11182,687,264,105,0.0946,Yes
169,LinkedIn,carousel,Food,HI,UK,2025-12-24,10,0.43,44652,3085,1186,474,0.1063,Yes
170,LinkedIn,video,Entertainment,EN,MX,2025-12-26,15,-0.14,2923,96,37,14,0.0513,No
171,LinkedIn,carousel,Lifestyle,HI,UK,2025-12-31,20,0.86,38611,2759,1061,424,0.11,Yes
172,LinkedIn,article,Business,EN,US,2025-01-07,15,0.65,48204,1946,748,299,0.0621,No
173,LinkedIn,article,Food,DE,IN,2025-09-15,01,0.73,1522,68,26,10,0.0694,No
174,LinkedIn,image,Food,UR,CA,2025-05-05,15,0.78,46446,4012,1543,617,0.1329,Yes
175,LinkedIn,image,Technology,PT,UK,2025-02-23,10,0.95,35062,1795,690,276,0.0788,No
176,LinkedIn,image,Travel,HI,CA,2025-02-18,15,0.26,26752,1688,649,259,0.0971,Yes
177,LinkedIn,image,Education,JA,UK,2025-04-30,10,0.47,24480,2114,813,325,0.1329,Yes
178,LinkedIn,video,Travel,UR,JP,2025-05-16,02,0.55,24313,1097,422,168,0.0695,No
179,LinkedIn,article,Lifestyle,UR,MX,2025-01-16,14,0.9,15567,424,163,65,0.042,No
180,LinkedIn,carousel,Education,HI,CA,2025-10-28,09,-0.25,22728,440,169,67,0.0298,No
181,LinkedIn,carousel,Technology,ES,CA,2025-08-10,12,0.67,10740,196,75,30,0.0282,No
182,LinkedIn,poll,Food,FR,UK,2025-09-13,15,0.88,2279,222,85,34,0.1503,Yes
183,LinkedIn,image,Travel,JA,DE,2025-10-17,15,0.89,19411,412,158,63,0.0328,No
184,LinkedIn,carousel,Fashion,DE,CA,2025-04-30,03,0.99,26455,1236,475,190,0.072,No
185,LinkedIn,video,Sports,FR,CA,2025-06-12,22,0.51,3487,75,29,11,0.0335,No
186,LinkedIn,video,Food,FR,US,2025-09-27,14,0.75,10283,797,306,122,0.1194,Yes
187,LinkedIn,poll,Education,HI,DE,2025-12-27,12,0.28,43544,1586,610,244,0.0561,No
188,LinkedIn,poll,Food,DE,BR,2025-12-07,10,0.19,38190,609,234,93,0.0246,No
189,LinkedIn,poll,Education,FR,CA,2025-02-23,04,0.93,6814,578,222,89,0.1307,Yes
190,LinkedIn,image,Travel,EN,UK,2025-04-18,09,0.84,11901,1049,403,161,0.1358,Yes
191,LinkedIn,carousel,Health,DE,AU,2025-07-12,15,0.56,7863,163,62,25,0.032,No
192,LinkedIn,video,Health,ES,IN,2025-10-08,02,0.46,14470,1256,483,193,0.1336,Yes
193,LinkedIn,carousel,Fashion,UR,UK,2025-06-02,09,0.89,41965,2765,1063,425,0.1014,Yes
194,LinkedIn,video,Entertainment,EN,BR,2025-03-29,02,0.8,6972,472,181,72,0.1044,Yes
195,LinkedIn,carousel,Sports,DE,FR,2025-07-09,09,0.61,36484,1722,662,265,0.0726,No
196,LinkedIn,poll,Business,EN,FR,2025-09-25,15,-0.36,33905,1515,583,233,0.0688,No
197,LinkedIn,poll,Food,ES,IN,2025-08-18,10,-0.61,42105,777,299,119,0.0284,No
198,LinkedIn,poll,Lifestyle,DE,IN,2025-02-14,15,0.49,38132,2239,861,344,0.0904,Yes
199,LinkedIn,article,Entertainment,HI,UK,2025-10-02,13,0.77,45617,3261,1254,501,0.11,Yes
200,LinkedIn,article,Health,DE,BR,2025-01-26,08,-0.79,20692,1204,463,185,0.0896,Yes
201,LinkedIn,carousel,Education,UR,FR,2025-11-06,06,0.7,9889,762,293,117,0.1186,Yes
202,LinkedIn,poll,Food,EN,MX,2025-04-09,06,-0.06,31423,1413,543,217,0.0692,No
203,LinkedIn,article,Technology,FR,DE,2025-09-08,10,0.43,38503,2768,1064,425,0.1106,Yes
204,LinkedIn,video,Business,FR,BR,2025-05-18,16,0.77,21018,1534,590,236,0.1124,Yes
205,LinkedIn,image,Health,PT,DE,2025-08-24,15,0.46,5183,205,79,31,0.061,No
206,LinkedIn,image,Education,UR,UK,2025-12-02,20,0.59,10170,716,275,110,0.1084,Yes
207,LinkedIn,carousel,Lifestyle,UR,FR,2025-07-27,09,0.91,44097,3927,1510,604,0.137,Yes
208,LinkedIn,video,Lifestyle,HI,JP,2025-03-07,23,0.85,21125,1068,411,164,0.0779,No
209,LinkedIn,image,Education,UR,CA,2025-05-31,09,-0.01,20553,816,314,125,0.0611,No
210,LinkedIn,video,Sports,FR,DE,2025-07-29,14,0.4,18925,563,216,86,0.0459,No
211,LinkedIn,video,Food,ES,JP,2025-02-15,15,0.28,22116,1490,573,229,0.1037,Yes
212,LinkedIn,poll,Business,EN,US,2025-11-17,07,0.89,20542,1942,747,298,0.1455,Yes
213,LinkedIn,carousel,Fashion,DE,FR,2025-12-18,10,0.99,14840,1168,449,179,0.1211,Yes
214,LinkedIn,poll,Fashion,ES,IN,2025-07-07,01,0.41,46203,1064,409,163,0.0355,No
215,LinkedIn,carousel,Health,HI,AU,2025-05-10,10,0.82,28448,2374,913,365,0.1284,Yes
216,LinkedIn,article,Fashion,HI,UK,2025-02-28,15,-0.05,3582,170,65,26,0.0737,No
217,LinkedIn,video,Travel,DE,BR,2025-01-02,09,-0.42,30933,2088,803,321,0.1039,Yes
218,LinkedIn,image,Lifestyle,JA,US,2025-02-21,01,0.85,4007,68,26,10,0.0263,No
219,LinkedIn,video,Sports,DE,DE,2025-08-13,08,0.67,26278,1825,702,280,0.1069,Yes
220,LinkedIn,carousel,Health,ES,IN,2025-03-09,01,0.14,12879,707,272,108,0.0845,Yes
221,LinkedIn,image,Food,EN,MX,2025-09-05,03,0.92,35394,2839,1092,436,0.1235,Yes
222,LinkedIn,poll,Food,FR,DE,2025-09-23,09,0.08,41167,697,268,107,0.0261,No
223,LinkedIn,video,Fashion,JA,JP,2025-03-26,15,0.54,31087,1512,581,232,0.0749,No
224,LinkedIn,poll,Travel,HI,JP,2025-08-17,15,0.73,6956,546,210,84,0.1209,Yes
225,LinkedIn,poll,Lifestyle,FR,JP,2025-06-24,09,0.86,15532,256,98,39,0.0254,No
226,LinkedIn,image,Lifestyle,DE,IN,2025-01-24,15,0.91,15128,822,316,126,0.0836,Yes
227,LinkedIn,video,Education,HI,FR,2025-01-24,21,0.66,39346,2092,804,321,0.0818,Yes
228,LinkedIn,poll,Sports,ES,MX,2025-02-23,14,-0.59,9740,176,67,27,0.0278,No
229,LinkedIn,poll,Fashion,UR,AU,2025-06-10,17,0.8,47556,3257,1253,501,0.1054,Yes
230,LinkedIn,video,Fashion,DE,IN,2025-06-30,15,0.43,4709,137,53,21,0.0451,No
231,LinkedIn,video,Lifestyle,UR,MX,2025-02-01,09,0.87,46621,1862,716,286,0.0615,No
232,LinkedIn,article,Health,PT,FR,2025-12-17,09,0.07,40543,1066,410,164,0.0405,No
233,LinkedIn,video,Lifestyle,JA,MX,2025-12-16,10,0.56,11546,687,264,105,0.0916,Yes
234,LinkedIn,image,Technology,DE,JP,2025-12-30,01,0.08,5776,378,145,58,0.1008,Yes
235,LinkedIn,image,Fashion,FR,MX,2025-09-24,10,0.58,41519,2314,890,356,0.0858,Yes
236,LinkedIn,poll,Technology,HI,DE,2025-08-17,10,-0.19,34873,2184,840,336,0.0964,Yes
237,LinkedIn,image,Fashion,JA,JP,2025-01-23,10,0.53,42255,3098,1191,476,0.1128,Yes
238,LinkedIn,carousel,Entertainment,FR,AU,2025-12-26,23,0.43,17509,973,374,149,0.0856,Yes
239,LinkedIn,poll,Business,UR,FR,2025-07-18,15,0.77,49886,3135,1206,482,0.0967,Yes
240,LinkedIn,article,Education,HI,UK,2025-12-18,09,0.63,36764,1405,540,216,0.0589,No
241,LinkedIn,video,Lifestyle,DE,US,2025-10-11,04,0.97,20968,721,277,111,0.0529,No
242,LinkedIn,image,Business,PT,AU,2025-03-14,10,0.27,36969,1717,660,264,0.0715,No
243,LinkedIn,poll,Entertainment,UR,IN,2025-05-09,15,0.44,13681,520,200,80,0.0586,No
244,LinkedIn,carousel,Education,UR,CA,2025-03-20,14,0.12,19132,1339,515,206,0.1078,Yes
245,LinkedIn,video,Education,JA,JP,2025-08-17,14,0.23,10175,771,296,118,0.1167,Yes
246,LinkedIn,video,Lifestyle,HI,IN,2025-01-10,20,0.49,26722,843,324,129,0.0486,No
247,LinkedIn,poll,Lifestyle,ES,JP,2025-09-14,15,-0.13,11434,270,104,41,0.0364,No
248,LinkedIn,poll,Sports,JA,DE,2025-01-21,15,-0.67,31780,1844,709,283,0.0893,Yes
249,LinkedIn,article,Technology,DE,IN,2025-12-27,20,0.94,6101,364,140,56,0.0919,Yes
250,LinkedIn,carousel,Business,PT,DE,2025-06-26,15,0.51,24738,1486,571,228,0.0925,Yes
251,LinkedIn,article,Business,PT,DE,2025-02-28,15,0.5,42257,2250,865,346,0.082,Yes
252,LinkedIn,poll,Sports,EN,MX,2025-05-13,16,-0.11,27920,1405,540,216,0.0774,No
253,LinkedIn,poll,Sports,UR,MX,2025-12-18,15,0.41,35256,2726,1048,419,0.119,Yes
254,LinkedIn,poll,Health,ES,CA,2025-02-19,09,-0.51,1078,65,25,10,0.0929,Yes
255,LinkedIn,carousel,Fashion,PT,DE,2025-01-23,13,0.54,6493,236,91,36,0.0562,No
256,LinkedIn,poll,Health,UR,BR,2025-01-03,00,0.81,21702,1067,410,164,0.0757,No
257,LinkedIn,article,Sports,PT,CA,2025-05-10,15,0.73,17631,1660,638,255,0.1449,Yes
258,LinkedIn,poll,Education,PT,MX,2025-12-04,10,0.11,45863,2792,1074,429,0.0937,Yes
259,LinkedIn,video,Health,EN,IN,2025-03-16,15,0.27,27256,1558,599,239,0.088,Yes
260,LinkedIn,poll,Lifestyle,EN,MX,2025-11-24,09,0.62,43927,677,260,104,0.0238,No
261,LinkedIn,video,Entertainment,UR,FR,2025-06-30,12,0.89,15830,1051,404,161,0.1022,Yes
262,LinkedIn,video,Travel,PT,CA,2025-01-03,15,0.21,38676,1202,462,185,0.0479,No
263,LinkedIn,carousel,Health,JA,BR,2025-06-23,14,1,45362,3454,1328,531,0.1172,Yes
264,LinkedIn,image,Health,DE,AU,2025-10-02,14,0.51,21569,894,344,137,0.0638,No
